title,overview,genres,release_date,runtime,vote_average
For the Birds,"One by one, a flock of small birds perches on a telephone wire. Sitting close together has problems enough, and then comes along a large dopey bird that tries to join them. The birds of a feather can't help but make fun of him - and their clique mentality proves embarrassing in the end.","[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",2000-11-01,3.0,7.5
The Student,"Roque starts University in Buenos Aires but he is not particularly interested in attending classes or working towards a degree. Instead, he dedicates his time to one of the many groups vying for control of the university, motivated less by grand political ideals than by a wish to get close to Paula, an attractive young teacher heavily involved in internal university politics.","[{'id': 10769, 'name': 'Foreign'}, {'id': 18, 'name': 'Drama'}]",2011-09-01,124.0,6.8
Cartoon All-Stars to the Rescue,"The plot chronicles the exploits of Michael, a teenager who is using marijuana and stealing his father's beer. His younger sister, Corey, is worried about him because he started acting differently. When her piggy bank goes missing, her cartoon tie-in toys come to life to help her find it. After discovering it in Michael's room along with his stash of drugs, the various cartoon characters proceed to work together and take him on a fantasy journey to teach him the risks and consequences a life of drug-use can bring and save the world.",[],1990-04-21,26.0,6.0
Choice of Purpose,"A story of the creation of the atomic bomb in America, Germany and the USSR.","[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",1975-01-01,158.0,0.0
Russkies,"A group of American boys discovers a Russian sailor washed up on the coast of Florida and decide to befriend him, assuming that he is friendly and will bring them no danger and thus go against the ideas of their parents, as well as the government.","[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",1987-11-06,99.0,4.5
Detective Conan: The Fourteenth Target,"Ran has a nightmare about her mother dying, but starts to remember what really happened involving herself, her mother, and her father from 10 years ago. Meanwhile, people are being injured by a certain culprit. Conan soon realizes that these people all have some kind of relation to Mouri, and that they all had a number in their name corresponding to a playing card and were being targeted in order,","[{'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",1998-04-19,99.0,7.5
Sausage Party,"Sausage Party, the first R-rated CG animated movie, is about one sausage leading a group of supermarket products on a quest to discover the truth about their existence and what really happens when they become chosen to leave the grocery store.","[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}]",2016-07-11,83.0,5.6
Mara and the Firebringer,"Mara Lorbeer, a fifteen year old girl, finds out that she has to save the world because the Norse god Loki is threatening to break free of his chains.","[{'id': 14, 'name': 'Fantasy'}]",2015-04-02,90.0,5.5
"I Am Taraneh, I Am Fifteen Years Old","Taraneh is a model 15-year-old Iranian girl, studious and filial, who supports her ailing grandmother with a job at a photo shop and visits her father (who has been imprisoned for reasons never made clear in the film) bearing gifts of cigarettes and magazines. But when Amir, a young man from a well-off family, sets his sights on Taraneh and courts her with an intensity that borders on stalking, her well-ordered life spirals into chaos.","[{'id': 18, 'name': 'Drama'}]",2002-11-13,110.0,6.5
Duska,An older film critic's life is interrupted by an unexpected visitor.,"[{'id': 18, 'name': 'Drama'}]",2007-10-04,110.0,4.8
